label,top_n_features,max_depth,accuracy,precision,recall,specificity
dfk,3,5,0.9948517298187809,1.0,0.984147114774889,1.0
dfk,3,6,1.0,1.0,1.0,1.0
dfk,3,7,1.0,1.0,1.0,1.0
dfk,4,5,0.9948517298187809,1.0,0.984147114774889,1.0
dfk,4,6,1.0,1.0,1.0,1.0
dfk,4,7,1.0,1.0,1.0,1.0
dfk,5,5,0.9877985996705108,1.0,0.962428662016487,1.0
dfk,5,6,0.9981466227347611,1.0,0.9942929613189601,1.0
dfk,5,7,1.0,1.0,1.0,1.0
dfk,6,5,0.9877985996705108,1.0,0.962428662016487,1.0
dfk,6,6,0.9981466227347611,1.0,0.9942929613189601,1.0
dfk,6,7,1.0,1.0,1.0,1.0
