Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2011,Male,60 years,Carlow,Number,263
Population,2011,Male,61 years,Carlow,Number,269
Population,2011,Male,62 years,Carlow,Number,260
Population,2011,Male,63 years,Carlow,Number,263
Population,2011,Male,64 years,Carlow,Number,255
Population,2011,Male,65 years,Carlow,Number,231
Population,2011,Male,66 years,Carlow,Number,215
Population,2011,Male,67 years,Carlow,Number,196
Population,2011,Male,68 years,Carlow,Number,197
Population,2011,Male,69 years,Carlow,Number,157
Population,2011,Male,70 years,Carlow,Number,172
Population,2011,Male,71 years,Carlow,Number,172
Population,2011,Male,72 years,Carlow,Number,172
Population,2011,Male,73 years,Carlow,Number,163
Population,2011,Male,74 years,Carlow,Number,121
Population,2011,Male,75 years,Carlow,Number,128
Population,2011,Male,76 years,Carlow,Number,118
Population,2011,Male,77 years,Carlow,Number,109
Population,2011,Male,78 years,Carlow,Number,84
Population,2011,Male,79 years,Carlow,Number,96
Population,2011,Male,80 years,Carlow,Number,96
Population,2011,Male,81 years,Carlow,Number,89
Population,2011,Male,82 years,Carlow,Number,65
Population,2011,Male,83 years,Carlow,Number,57
Population,2011,Male,84 years,Carlow,Number,51
Population,2011,Male,85 years,Carlow,Number,40
Population,2011,Male,86 years,Carlow,Number,39
Population,2011,Male,87 years,Carlow,Number,26
Population,2011,Male,88 years,Carlow,Number,24
Population,2011,Male,89 years,Carlow,Number,23
Population,2011,Male,90 years,Carlow,Number,19
Population,2011,Male,91 years,Carlow,Number,15
Population,2011,Male,92 years,Carlow,Number,12
Population,2011,Male,93 years,Carlow,Number,8
Population,2011,Male,94 years,Carlow,Number,2
Population,2011,Male,95 years,Carlow,Number,8
Population,2011,Male,96 years,Carlow,Number,1
Population,2011,Male,97 years,Carlow,Number,0
Population,2011,Male,98 years,Carlow,Number,3
Population,2011,Male,99 years,Carlow,Number,1
Population,2011,Male,100 years and over,Carlow,Number,1
Population,2011,Female,60 years,Carlow,Number,264
Population,2011,Female,61 years,Carlow,Number,272
Population,2011,Female,62 years,Carlow,Number,255
Population,2011,Female,63 years,Carlow,Number,260
Population,2011,Female,64 years,Carlow,Number,219
Population,2011,Female,65 years,Carlow,Number,235
Population,2011,Female,66 years,Carlow,Number,211
Population,2011,Female,67 years,Carlow,Number,195
Population,2011,Female,68 years,Carlow,Number,198
Population,2011,Female,69 years,Carlow,Number,201
Population,2011,Female,70 years,Carlow,Number,176
Population,2011,Female,71 years,Carlow,Number,164
Population,2011,Female,72 years,Carlow,Number,145
Population,2011,Female,73 years,Carlow,Number,154
Population,2011,Female,74 years,Carlow,Number,126
Population,2011,Female,75 years,Carlow,Number,147
Population,2011,Female,76 years,Carlow,Number,125
Population,2011,Female,77 years,Carlow,Number,115
Population,2011,Female,78 years,Carlow,Number,111
Population,2011,Female,79 years,Carlow,Number,113
Population,2011,Female,80 years,Carlow,Number,113
Population,2011,Female,81 years,Carlow,Number,107
Population,2011,Female,82 years,Carlow,Number,92
Population,2011,Female,83 years,Carlow,Number,79
Population,2011,Female,84 years,Carlow,Number,69
Population,2011,Female,85 years,Carlow,Number,63
Population,2011,Female,86 years,Carlow,Number,66
Population,2011,Female,87 years,Carlow,Number,53
Population,2011,Female,88 years,Carlow,Number,56
Population,2011,Female,89 years,Carlow,Number,45
Population,2011,Female,90 years,Carlow,Number,41
Population,2011,Female,91 years,Carlow,Number,29
Population,2011,Female,92 years,Carlow,Number,23
Population,2011,Female,93 years,Carlow,Number,21
Population,2011,Female,94 years,Carlow,Number,8
Population,2011,Female,95 years,Carlow,Number,6
Population,2011,Female,96 years,Carlow,Number,5
Population,2011,Female,97 years,Carlow,Number,3
Population,2011,Female,98 years,Carlow,Number,0
Population,2011,Female,99 years,Carlow,Number,3
Population,2011,Female,100 years and over,Carlow,Number,2
Population,2016,Male,60 years,Carlow,Number,291
Population,2016,Male,61 years,Carlow,Number,287
Population,2016,Male,62 years,Carlow,Number,281
Population,2016,Male,63 years,Carlow,Number,289
Population,2016,Male,64 years,Carlow,Number,288
Population,2016,Male,65 years,Carlow,Number,249
Population,2016,Male,66 years,Carlow,Number,267
Population,2016,Male,67 years,Carlow,Number,242
Population,2016,Male,68 years,Carlow,Number,258
Population,2016,Male,69 years,Carlow,Number,237
Population,2016,Male,70 years,Carlow,Number,202
Population,2016,Male,71 years,Carlow,Number,201
Population,2016,Male,72 years,Carlow,Number,185
Population,2016,Male,73 years,Carlow,Number,182
Population,2016,Male,74 years,Carlow,Number,136
Population,2016,Male,75 years,Carlow,Number,142
Population,2016,Male,76 years,Carlow,Number,143
Population,2016,Male,77 years,Carlow,Number,139
Population,2016,Male,78 years,Carlow,Number,130
Population,2016,Male,79 years,Carlow,Number,95
Population,2016,Male,80 years,Carlow,Number,103
Population,2016,Male,81 years,Carlow,Number,94
Population,2016,Male,82 years,Carlow,Number,87
Population,2016,Male,83 years,Carlow,Number,62
Population,2016,Male,84 years,Carlow,Number,53
Population,2016,Male,85 years,Carlow,Number,64
Population,2016,Male,86 years,Carlow,Number,54
Population,2016,Male,87 years,Carlow,Number,30
Population,2016,Male,88 years,Carlow,Number,35
Population,2016,Male,89 years,Carlow,Number,23
Population,2016,Male,90 years,Carlow,Number,20
Population,2016,Male,91 years,Carlow,Number,14
Population,2016,Male,92 years,Carlow,Number,10
Population,2016,Male,93 years,Carlow,Number,9
Population,2016,Male,94 years,Carlow,Number,6
Population,2016,Male,95 years,Carlow,Number,5
Population,2016,Male,96 years,Carlow,Number,5
Population,2016,Male,97 years,Carlow,Number,2
Population,2016,Male,98 years,Carlow,Number,3
Population,2016,Male,99 years,Carlow,Number,1
Population,2016,Male,100 years and over,Carlow,Number,3
Population,2016,Female,60 years,Carlow,Number,296
Population,2016,Female,61 years,Carlow,Number,295
Population,2016,Female,62 years,Carlow,Number,275
Population,2016,Female,63 years,Carlow,Number,315
Population,2016,Female,64 years,Carlow,Number,247
Population,2016,Female,65 years,Carlow,Number,253
Population,2016,Female,66 years,Carlow,Number,284
Population,2016,Female,67 years,Carlow,Number,224
Population,2016,Female,68 years,Carlow,Number,245
Population,2016,Female,69 years,Carlow,Number,208
Population,2016,Female,70 years,Carlow,Number,230
Population,2016,Female,71 years,Carlow,Number,200
Population,2016,Female,72 years,Carlow,Number,183
Population,2016,Female,73 years,Carlow,Number,189
Population,2016,Female,74 years,Carlow,Number,180
Population,2016,Female,75 years,Carlow,Number,171
Population,2016,Female,76 years,Carlow,Number,153
Population,2016,Female,77 years,Carlow,Number,127
Population,2016,Female,78 years,Carlow,Number,139
Population,2016,Female,79 years,Carlow,Number,116
Population,2016,Female,80 years,Carlow,Number,122
Population,2016,Female,81 years,Carlow,Number,102
Population,2016,Female,82 years,Carlow,Number,105
Population,2016,Female,83 years,Carlow,Number,82
Population,2016,Female,84 years,Carlow,Number,98
Population,2016,Female,85 years,Carlow,Number,88
Population,2016,Female,86 years,Carlow,Number,57
Population,2016,Female,87 years,Carlow,Number,56
Population,2016,Female,88 years,Carlow,Number,48
Population,2016,Female,89 years,Carlow,Number,32
Population,2016,Female,90 years,Carlow,Number,43
Population,2016,Female,91 years,Carlow,Number,34
Population,2016,Female,92 years,Carlow,Number,20
Population,2016,Female,93 years,Carlow,Number,19
Population,2016,Female,94 years,Carlow,Number,17
Population,2016,Female,95 years,Carlow,Number,16
Population,2016,Female,96 years,Carlow,Number,8
Population,2016,Female,97 years,Carlow,Number,4
Population,2016,Female,98 years,Carlow,Number,7
Population,2016,Female,99 years,Carlow,Number,4
Population,2016,Female,100 years and over,Carlow,Number,2
Population,2022,Male,60 years,Carlow,Number,356
Population,2022,Male,61 years,Carlow,Number,334
Population,2022,Male,62 years,Carlow,Number,333
Population,2022,Male,63 years,Carlow,Number,326
Population,2022,Male,64 years,Carlow,Number,287
Population,2022,Male,65 years,Carlow,Number,322
Population,2022,Male,66 years,Carlow,Number,283
Population,2022,Male,67 years,Carlow,Number,271
Population,2022,Male,68 years,Carlow,Number,291
Population,2022,Male,69 years,Carlow,Number,276
Population,2022,Male,70 years,Carlow,Number,277
Population,2022,Male,71 years,Carlow,Number,238
Population,2022,Male,72 years,Carlow,Number,248
Population,2022,Male,73 years,Carlow,Number,233
Population,2022,Male,74 years,Carlow,Number,246
Population,2022,Male,75 years,Carlow,Number,207
Population,2022,Male,76 years,Carlow,Number,201
Population,2022,Male,77 years,Carlow,Number,184
Population,2022,Male,78 years,Carlow,Number,156
Population,2022,Male,79 years,Carlow,Number,168
Population,2022,Male,80 years,Carlow,Number,116
Population,2022,Male,81 years,Carlow,Number,117
Population,2022,Male,82 years,Carlow,Number,109
Population,2022,Male,83 years,Carlow,Number,101
Population,2022,Male,84 years,Carlow,Number,87
Population,2022,Male,85 years,Carlow,Number,64
Population,2022,Male,86 years,Carlow,Number,73
Population,2022,Male,87 years,Carlow,Number,57
Population,2022,Male,88 years,Carlow,Number,37
Population,2022,Male,89 years,Carlow,Number,32
Population,2022,Male,90 years,Carlow,Number,17
Population,2022,Male,91 years,Carlow,Number,27
Population,2022,Male,92 years,Carlow,Number,14
Population,2022,Male,93 years,Carlow,Number,4
Population,2022,Male,94 years,Carlow,Number,6
Population,2022,Male,95 years,Carlow,Number,2
Population,2022,Male,96 years,Carlow,Number,3
Population,2022,Male,97 years,Carlow,Number,2
Population,2022,Male,98 years,Carlow,Number,2
Population,2022,Male,99 years,Carlow,Number,1
Population,2022,Male,100 years and over,Carlow,Number,0
Population,2022,Female,60 years,Carlow,Number,317
Population,2022,Female,61 years,Carlow,Number,350
Population,2022,Female,62 years,Carlow,Number,380
Population,2022,Female,63 years,Carlow,Number,316
Population,2022,Female,64 years,Carlow,Number,323
Population,2022,Female,65 years,Carlow,Number,306
Population,2022,Female,66 years,Carlow,Number,286
Population,2022,Female,67 years,Carlow,Number,291
Population,2022,Female,68 years,Carlow,Number,274
Population,2022,Female,69 years,Carlow,Number,311
Population,2022,Female,70 years,Carlow,Number,245
Population,2022,Female,71 years,Carlow,Number,259
Population,2022,Female,72 years,Carlow,Number,278
Population,2022,Female,73 years,Carlow,Number,228
Population,2022,Female,74 years,Carlow,Number,229
Population,2022,Female,75 years,Carlow,Number,197
Population,2022,Female,76 years,Carlow,Number,211
Population,2022,Female,77 years,Carlow,Number,188
Population,2022,Female,78 years,Carlow,Number,156
Population,2022,Female,79 years,Carlow,Number,171
Population,2022,Female,80 years,Carlow,Number,163
Population,2022,Female,81 years,Carlow,Number,148
Population,2022,Female,82 years,Carlow,Number,131
Population,2022,Female,83 years,Carlow,Number,102
Population,2022,Female,84 years,Carlow,Number,111
Population,2022,Female,85 years,Carlow,Number,77
Population,2022,Female,86 years,Carlow,Number,86
Population,2022,Female,87 years,Carlow,Number,62
Population,2022,Female,88 years,Carlow,Number,68
Population,2022,Female,89 years,Carlow,Number,54
Population,2022,Female,90 years,Carlow,Number,48
Population,2022,Female,91 years,Carlow,Number,45
Population,2022,Female,92 years,Carlow,Number,24
Population,2022,Female,93 years,Carlow,Number,22
Population,2022,Female,94 years,Carlow,Number,18
Population,2022,Female,95 years,Carlow,Number,12
Population,2022,Female,96 years,Carlow,Number,8
Population,2022,Female,97 years,Carlow,Number,9
Population,2022,Female,98 years,Carlow,Number,5
Population,2022,Female,99 years,Carlow,Number,6
Population,2022,Female,100 years and over,Carlow,Number,3
Population,2011,Male,60 years,Cavan,Number,390
Population,2011,Male,61 years,Cavan,Number,393
Population,2011,Male,62 years,Cavan,Number,347
Population,2011,Male,63 years,Cavan,Number,384
Population,2011,Male,64 years,Cavan,Number,341
Population,2011,Male,65 years,Cavan,Number,360
Population,2011,Male,66 years,Cavan,Number,302
Population,2011,Male,67 years,Cavan,Number,289
Population,2011,Male,68 years,Cavan,Number,267
Population,2011,Male,69 years,Cavan,Number,242
Population,2011,Male,70 years,Cavan,Number,229
Population,2011,Male,71 years,Cavan,Number,204
Population,2011,Male,72 years,Cavan,Number,192
Population,2011,Male,73 years,Cavan,Number,192
Population,2011,Male,74 years,Cavan,Number,201
Population,2011,Male,75 years,Cavan,Number,225
Population,2011,Male,76 years,Cavan,Number,183
Population,2011,Male,77 years,Cavan,Number,174
Population,2011,Male,78 years,Cavan,Number,142
Population,2011,Male,79 years,Cavan,Number,135
Population,2011,Male,80 years,Cavan,Number,140
Population,2011,Male,81 years,Cavan,Number,112
Population,2011,Male,82 years,Cavan,Number,115
Population,2011,Male,83 years,Cavan,Number,104
Population,2011,Male,84 years,Cavan,Number,72
Population,2011,Male,85 years,Cavan,Number,73
Population,2011,Male,86 years,Cavan,Number,70
Population,2011,Male,87 years,Cavan,Number,63
Population,2011,Male,88 years,Cavan,Number,50
Population,2011,Male,89 years,Cavan,Number,38
Population,2011,Male,90 years,Cavan,Number,25
Population,2011,Male,91 years,Cavan,Number,30
Population,2011,Male,92 years,Cavan,Number,16
Population,2011,Male,93 years,Cavan,Number,10
Population,2011,Male,94 years,Cavan,Number,9
Population,2011,Male,95 years,Cavan,Number,5
Population,2011,Male,96 years,Cavan,Number,3
Population,2011,Male,97 years,Cavan,Number,5
Population,2011,Male,98 years,Cavan,Number,1
Population,2011,Male,99 years,Cavan,Number,1
Population,2011,Male,100 years and over,Cavan,Number,1
Population,2011,Female,60 years,Cavan,Number,348
Population,2011,Female,61 years,Cavan,Number,328
Population,2011,Female,62 years,Cavan,Number,357
Population,2011,Female,63 years,Cavan,Number,318
Population,2011,Female,64 years,Cavan,Number,318
Population,2011,Female,65 years,Cavan,Number,281
Population,2011,Female,66 years,Cavan,Number,297
Population,2011,Female,67 years,Cavan,Number,271
Population,2011,Female,68 years,Cavan,Number,218
Population,2011,Female,69 years,Cavan,Number,187
Population,2011,Female,70 years,Cavan,Number,177
Population,2011,Female,71 years,Cavan,Number,211
Population,2011,Female,72 years,Cavan,Number,212
Population,2011,Female,73 years,Cavan,Number,186
Population,2011,Female,74 years,Cavan,Number,186
Population,2011,Female,75 years,Cavan,Number,209
Population,2011,Female,76 years,Cavan,Number,196
Population,2011,Female,77 years,Cavan,Number,190
Population,2011,Female,78 years,Cavan,Number,173
Population,2011,Female,79 years,Cavan,Number,148
Population,2011,Female,80 years,Cavan,Number,162
Population,2011,Female,81 years,Cavan,Number,151
Population,2011,Female,82 years,Cavan,Number,135
Population,2011,Female,83 years,Cavan,Number,128
Population,2011,Female,84 years,Cavan,Number,124
Population,2011,Female,85 years,Cavan,Number,119
Population,2011,Female,86 years,Cavan,Number,104
Population,2011,Female,87 years,Cavan,Number,91
Population,2011,Female,88 years,Cavan,Number,83
Population,2011,Female,89 years,Cavan,Number,70
Population,2011,Female,90 years,Cavan,Number,70
Population,2011,Female,91 years,Cavan,Number,60
Population,2011,Female,92 years,Cavan,Number,40
Population,2011,Female,93 years,Cavan,Number,34
Population,2011,Female,94 years,Cavan,Number,29
Population,2011,Female,95 years,Cavan,Number,14
Population,2011,Female,96 years,Cavan,Number,10
Population,2011,Female,97 years,Cavan,Number,9
Population,2011,Female,98 years,Cavan,Number,6
Population,2011,Female,99 years,Cavan,Number,2
Population,2011,Female,100 years and over,Cavan,Number,3
Population,2016,Male,60 years,Cavan,Number,403
Population,2016,Male,61 years,Cavan,Number,433
Population,2016,Male,62 years,Cavan,Number,411
Population,2016,Male,63 years,Cavan,Number,405
Population,2016,Male,64 years,Cavan,Number,372
Population,2016,Male,65 years,Cavan,Number,392
Population,2016,Male,66 years,Cavan,Number,379
Population,2016,Male,67 years,Cavan,Number,354
Population,2016,Male,68 years,Cavan,Number,350
Population,2016,Male,69 years,Cavan,Number,321
Population,2016,Male,70 years,Cavan,Number,326
Population,2016,Male,71 years,Cavan,Number,284
Population,2016,Male,72 years,Cavan,Number,265
Population,2016,Male,73 years,Cavan,Number,246
Population,2016,Male,74 years,Cavan,Number,224
Population,2016,Male,75 years,Cavan,Number,212
Population,2016,Male,76 years,Cavan,Number,202
Population,2016,Male,77 years,Cavan,Number,174
Population,2016,Male,78 years,Cavan,Number,179
Population,2016,Male,79 years,Cavan,Number,156
