event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
2017-09-25 04:34:48+00:00_2017-09-25 10:00:01+00:00_Severe Fog warning_Orange_Ireland,2017-09-25 04:34:48+00:00,1,2017-09-25 04:34:48+00:00,2017-09-25 04:34:48+00:00,2017-09-25 04:34:48+00:00,2017-09-25 10:00:01+00:00,Severe Fog warning,"Widespread fog this morning, dense in places.",Ireland,Orange
2017-09-25 10:17:10+00:00_2017-09-25 10:00:01+00:00_Severe Fog warning_Orange_Ireland,2017-09-25 10:17:10+00:00,1,2017-09-25 10:17:10+00:00,2017-09-25 10:17:10+00:00,2017-09-25 10:17:10+00:00,2017-09-25 10:00:01+00:00,Severe Fog warning,"Widespread fog this morning, dense in places.",Ireland,Orange
"2017-09-26 12:15:43+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-26 12:15:43+00:00,1,2017-09-26 12:15:43+00:00,2017-09-26 12:15:43+00:00,2017-09-26 12:15:43+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
"2017-09-26 12:19:28+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Cork,Kerry",2017-09-26 12:19:28+00:00,1,2017-09-26 12:19:28+00:00,2017-09-26 12:19:28+00:00,2017-09-26 12:19:28+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,"Rainfall accumulations between 30mm and 50mm expected over a 24 hour period, but higher accumulations possible in hilly and mountainous areas.","Cork,Kerry",Yellow
"2017-09-26 12:29:26+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-26 12:29:26+00:00,1,2017-09-26 12:29:26+00:00,2017-09-26 12:29:26+00:00,2017-09-26 12:29:26+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
"2017-09-26 12:29:26+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Cork,Kerry",2017-09-26 12:29:26+00:00,1,2017-09-26 12:29:26+00:00,2017-09-26 12:29:26+00:00,2017-09-26 12:29:26+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,"Rainfall accumulations between 30mm and 50mm expected over a 24 hour period, but higher accumulations possible in hilly and mountainous areas.","Cork,Kerry",Yellow
"2017-09-26 22:29:26+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-26 22:29:26+00:00,1,2017-09-26 22:29:26+00:00,2017-09-26 22:29:26+00:00,2017-09-26 22:29:26+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
"2017-09-26 22:35:49+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-26 22:35:49+00:00,1,2017-09-26 22:35:49+00:00,2017-09-26 22:35:49+00:00,2017-09-26 22:35:49+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
"2017-09-26 22:35:49+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Cork,Kerry",2017-09-26 22:35:49+00:00,1,2017-09-26 22:35:49+00:00,2017-09-26 22:35:49+00:00,2017-09-26 22:35:49+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,"Rainfall accumulations between 30mm and 50mm expected over a 24 hour period, but higher accumulations possible in hilly and mountainous areas.","Cork,Kerry",Yellow
"2017-09-26 22:37:28+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-26 22:37:28+00:00,1,2017-09-26 22:37:28+00:00,2017-09-26 22:37:28+00:00,2017-09-26 22:37:28+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
