identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.220128173544.503871,forecasts@met.ie,2022-01-28 17:35:44+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-01-28 17:34:39+00:00,2022-01-29 03:00:00+00:00,2022-01-29 09:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210126134444.306273,forecasts@met.ie,2021-01-26 13:44:44+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2021-01-26 13:00:01+00:00,2021-01-27 18:00:01+00:00,2021-01-28 06:00:01+00:00,Met Eireann,"Rainfall warning for Connacht, Cavan, Monaghan, Donegal, Longford, Louth, Westmeath and Meath",Heavy rain. Risk of localised flooding.,,2; yellow; Moderate,"Connacht, Cavan, Monaghan, Donegal, Longford, Louth, Westmeath and Meath",Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Monaghan;Donegal;Longford;Louth;Westmeath;Meath,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.221230051303.757209,forecasts@met.ie,2022-12-30 05:13:03+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-12-30 05:12:39+00:00,2022-12-30 05:12:31+00:00,2022-12-30 08:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210209052127.489257,forecasts@met.ie,2021-02-09 05:21:27+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2021-02-08 16:00:01+00:00,2021-02-08 18:00:01+00:00,2021-02-09 18:00:01+00:00,Met Eireann,"Snow/Ice warning for Dublin, Kildare, Louth, Wicklow, Meath and Monaghan",Snow accumulations of 2 to 5 cm in places.,,2; yellow; Moderate,"Dublin, Kildare, Louth, Wicklow, Meath and Monaghan",Kildare;Louth;Wicklow;Meath;Monaghan,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.220625112028.N_Norm002_Weather,forecasts@met.ie,2022-06-25 11:20:28+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2022-06-25 11:20:28+00:00,2022-06-25 11:20:22+00:00,2022-06-25 23:00:00+00:00,Met Éireann,"Rain warning for Galway, Mayo",Further heavy showers or longer spells of rain may lead to spot flooding in places.,,2; yellow; Moderate,"Galway, Mayo",Galway;Mayo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.210125052253.221975,forecasts@met.ie,2021-01-25 05:22:53+00:00,Actual,Alert,Public,en-GB,Met,Moderate Low-Temperature warning,None,Expected,Moderate,Likely,2021-01-24 11:00:01+00:00,2021-01-24 19:00:01+00:00,2021-01-25 10:00:01+00:00,Met Eireann,Low Temperature/Ice warning for Ireland,"Icy and very cold with lowest temperatures of -5 to -2 degrees Celsius generally, colder locally.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,6; low-temperature,,Yellow,Moderate,Low-Temperature
2.49.0.1.372.0.220220085313.N_Norm008_Weather,forecasts@met.ie,2022-02-20 08:53:13+00:00,Actual,Alert,Public,en-GB,Met,Orange Wind,Prepare,Future,Severe,Likely,2022-02-20 08:53:13+00:00,2022-02-20 12:00:00+00:00,2022-02-21 00:00:00+00:00,Met Éireann,Wind Warning for Clare,"Storm Franklin will cause gale force westerly winds with severe and damaging gusts. These winds combined with very high seas will lead to wave overtopping, which may result in coastal flooding.",,3; orange; Severe,Clare,Clare,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.220102114726.N_Norm003_Weather,forecasts@met.ie,2022-01-02 11:47:26+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2022-01-02 11:47:26+00:00,2022-01-03 00:00:00+00:00,2022-01-03 15:00:00+00:00,Met Éireann,Rainfall warning for Donegal,Heavy showers or longer spells of rain overnight Sunday and on Monday may result in some rivers flooding as well as localised surface flooding.,,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.221215085721.N_Norm006_Weather,forecasts@met.ie,2022-12-15 08:57:21+00:00,Actual,Alert,Public,en-GB,Met,Orange Low Temperature/Ice,Prepare,Immediate,Severe,Likely,2022-12-15 08:57:21+00:00,2022-12-15 08:56:40+00:00,2022-12-15 12:00:00+00:00,Met Éireann,"Low Temperature/Ice warning for Carlow, Kildare, Kilkenny, Laois, Longford, Louth, Meath, Offaly, Westmeath, Cavan, Monaghan, Clare, Cork, Kerry, Limerick, Tipperary, Galway, Leitrim, Roscommon",Extremely cold on Wednesday night with widespread temperatures below -5 degrees leading to severe frost and ice,,3; orange; Severe,"Carlow, Kildare, Kilkenny, Laois, Longford, Louth, Meath, Offaly, Westmeath, Cavan, Monaghan, Clare, Cork, Kerry, Limerick, Tipperary, Galway, Leitrim, Roscommon",Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Cavan;Monaghan;Clare;Cork;Kerry;Galway;Leitrim;Roscommon,6; low-temperature,,Orange,Severe,Low-Temperature
2.49.0.1.372.0.211007220131.758414,forecasts@met.ie,2021-10-07 22:01:31+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-10-07 23:00:57+00:00,2021-10-07 23:00:48+00:00,2021-10-09 03:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210223162305.N_Norm002_Weather,forecasts@met.ie,2021-02-23 16:23:05+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2021-02-23 16:23:05+00:00,2021-02-23 16:22:43+00:00,2021-02-23 21:00:00+00:00,Met Éireann,"Rainfall warning for Carlow, Kilkenny, Wexford, Wicklow, Limerick","Updated: Rain, heavy at times, will continue Tuesday evening leading to some river flooding and localised surface flooding.",,2; yellow; Moderate,"Carlow, Kilkenny, Wexford, Wicklow, Limerick",Carlow;Kilkenny;Wexford;Wicklow,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.210119123737.129547,forecasts@met.ie,2021-01-19 12:37:37+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2021-01-19 11:00:01+00:00,2021-01-19 11:00:01+00:00,2021-01-19 21:00:01+00:00,Met Eireann,Rainfall warning for Donegal,"Heavy rainfall will lead to accumulations of up to 30mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.",,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.220312231336.N_Norm005_Weather,forecasts@met.ie,2022-03-12 23:13:36+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Immediate,Moderate,Likely,2022-03-12 23:13:36+00:00,2022-03-12 23:13:30+00:00,2022-03-13 09:00:00+00:00,Met Éireann,"Wind warning for Cork, Waterford, Dublin, Louth, Meath, Wexford, Wicklow","Strong southeast winds with some severe gusts of 90 to 110km/h expected, strongest in coastal areas.",,2; yellow; Moderate,"Cork, Waterford, Dublin, Louth, Meath, Wexford, Wicklow",Cork;Louth;Meath;Wexford;Wicklow,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.221211220643.177876,forecasts@met.ie,2022-12-11 22:06:43+00:00,Actual,Alert,Public,en-GB,Met,Severe  warning,None,Expected,Severe,Likely,2022-12-11 21:36:43+00:00,2022-12-11 21:36:33+00:00,2022-12-16 12:00:00+00:00,Met Eireann, warning for ,,,3; orange; Severe,,All,,,Orange,Severe,nan
