identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.201203123114.151251,forecasts@met.ie,2020-12-03 12:31:14+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-12-03 10:00:01+00:00,2020-12-04 16:00:01+00:00,2020-12-05 06:00:01+00:00,Met Eireann,"Wind warning for Clare, Cork, Kerry and Limerick","North to northwest winds will strengthen on Friday evening and Friday night, gusting up to 100km/h with a slight risk of coastal flooding.",,2; yellow; Moderate,"Clare, Cork, Kerry and Limerick",Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.180510181805.551479,forecasts@met.ie,2018-05-10 18:18:05+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-05-10 18:00:01+00:00,2018-05-10 23:01:01+00:00,2018-05-11 08:00:01+00:00,Met Eireann,"Wind warning for Galway, Mayo, Clare, Cork and Kerry","UPDATE:\nLater tonight and for a time on Friday morning, in coastal areas, southerly winds will reach mean speeds of 55 to 65 km/h with gusts between to 80 and 100 km/h.",,2; yellow; Moderate,"Galway, Mayo, Clare, Cork and Kerry",Galway;Mayo;Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.201029224728.065455,forecasts@met.ie,2020-10-29 22:47:28+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2020-10-29 10:00:00+00:00,2020-10-30 21:03:00+00:00,2020-11-02 18:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Very unsettled weather will occur over the Halloween weekend as a series of vigorous Atlantic weather systems pass close to Ireland. \n\nSpells of heavy rain will lead to surface and river flooding. \n\nVery windy/stormy at times with some severe and damaging gusts possible.   \n\nSome coastal flooding possible also due to the combination of low pressure, high tides and onshore winds. \n\nVery high seas. \n\nPlease consult your county warnings from Met Éireann on a day by day basis https://www.met.ie/warnings/today",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.181011215801.531914,forecasts@met.ie,2018-10-11 21:58:01+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2018-10-11 12:58:44+00:00,2018-10-11 22:00:01+00:00,2018-10-12 16:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Mayo, Sligo and Clare","Storm Callum: Southeast winds veering southwest will gust generally between 100 and 130km/h, higher in some coastal areas and on high ground. Along with a spell of heavy rain and high tides there is a risk of coastal flooding and damage.",,3; orange; Severe,"Donegal, Galway, Mayo, Sligo and Clare",Donegal;Galway;Mayo;Sligo;Clare,1; Wind,,Orange,Severe,Wind
2.49.0.0.372.0.IE.180211195843.242327,https://beta.met.ie/warnings/,2018-02-11 19:58:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-02-11 19:00:00+00:00,2018-02-12 17:00:00+00:00,2018-02-13 06:00:00+00:00,Met Eireann,Advisory warning for Ireland,"A spell of wet and windy weather, with a risk of thundery downpours, will sweep eastwards over the country during Monday evening and night. Gusts between 90 and 110km/h are likely to occur in Atlantic, southern and later eastern coastal fringes for a time. Additional accumulations of snow are likely during the period also, mainly in parts of west Ulster and north Connacht.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.201028230543.403464,forecasts@met.ie,2020-10-28 23:05:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-10-28 19:00:01+00:00,2020-10-29 10:00:01+00:00,2020-10-29 16:00:01+00:00,Met Eireann,Wind warning for Galway and Mayo,"Strong southwest winds on Thursday, with mean speeds of 55 to 65km/h and gusts to 100km/h. Strongest in western parts of Galway and Mayo.",,2; yellow; Moderate,Galway and Mayo,Galway;Mayo,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.180102141443.408870,https://beta.met.ie/warnings/,2018-01-02 14:14:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2018-01-02 12:00:01+00:00,2018-01-02 14:00:01+00:00,2018-01-02 21:00:01+00:00,Met Eireann,Rainfall warning for Connacht and Donegal,Some thundery downpours expected in places this afternoon and early evening with falls of 20 to 25 mm in some parts.,,2; yellow; Moderate,Connacht and Donegal,Galway;Leitrim;Mayo;Roscommon;Sligo;Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.180727101331.501098,forecasts@met.ie,2018-07-27 10:13:31+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-07-25 14:00:00+00:00,2018-07-25 14:00:00+00:00,2018-08-01 14:00:00+00:00,Met Eireann,Weather Advisory for Munster and Leinster,Soil moisture deficits will remain in excess of 70mm in many parts of Leinster and Munster. Next update Wednesday 1st August.,,2; yellow; Moderate,Munster and Leinster,Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.191208131247.536249,forecasts@met.ie,2019-12-08 13:12:47+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-12-07 09:00:01+00:00,2019-12-07 18:00:01+00:00,2019-12-08 18:00:01+00:00,Met Eireann,Rainfall warning for Donegal,Rainfall accumulations of 30 to 40mm expected during the period.,,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.190413162915.097452,forecasts@met.ie,2019-04-13 16:29:15+00:00,Actual,Alert,Public,en-GB,Met,Severe Rainfall warning,None,Expected,Severe,Likely,2019-04-13 16:00:01+00:00,2019-04-13 17:00:01+00:00,2019-04-15 17:00:01+00:00,Met Eireann,Rainfall warning for Cork and Waterford,"In the 48 hour period from Saturday evening to Monday evening, a spell of heavy rain through Saturday night and  Sunday followed by a second spell of heavy rain later on Sunday night and Monday will give large rainfall amounts. \n\nFlooding and hazardous driving conditions in many areas. Rainfall amounts will be highest along the south coast and in mountainous areas.",,3; orange; Severe,Cork and Waterford,Cork,10; Rain,,Orange,Severe,Rain
