sent,identifier,headline,param_awareness_level,param_awareness_type,standardized_type,weather_pattern,headline_category
2021-05-02 10:01:16+00:00,2.49.0.1.372.0.210502100116.785985, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-02 15:58:47+00:00,2.49.0.1.372.0.210502155847.077381, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-02 22:16:54+00:00,2.49.0.1.372.0.210502221654.750894, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-03 04:42:27+00:00,2.49.0.1.372.0.210503044227.491560, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-03 12:34:35+00:00,2.49.0.1.372.0.210503123435.416231, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-03 12:59:43+00:00,2.49.0.1.372.0.210503125943.391674, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-03 16:38:01+00:00,2.49.0.1.372.0.210503163801.652528, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-07 10:13:30+00:00,2.49.0.1.372.0.210507101330.008413, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-07 19:00:15+00:00,2.49.0.1.372.0.210507190015.825889, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-07 19:28:42+00:00,2.49.0.1.372.0.210507192842.734318, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-07 22:08:27+00:00,2.49.0.1.372.0.210507220827.542966, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-07 22:14:50+00:00,2.49.0.1.372.0.210507221450.835933, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-08 04:12:54+00:00,2.49.0.1.372.0.210508041254.205860, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-08 04:22:22+00:00,2.49.0.1.372.0.210508042222.752029, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-08 04:30:54+00:00,2.49.0.1.372.0.210508043054.826947, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-10 12:49:07+00:00,2.49.0.1.372.0.210510124907.321658, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-10 17:55:05+00:00,2.49.0.1.372.0.210510175505.173927, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-10 18:00:47+00:00,2.49.0.1.372.0.210510180047.536369, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-10 18:01:21+00:00,2.49.0.1.372.0.210510180121.636927, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-12 09:02:40+00:00,2.49.0.1.372.0.210512090240.599068, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-12 12:04:04+00:00,2.49.0.1.372.0.210512120404.884042, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-13 14:28:38+00:00,2.49.0.1.372.0.210513142838.597726, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-14 10:42:27+00:00,2.49.0.1.372.0.210514104227.846077, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-14 11:31:45+00:00,2.49.0.1.372.0.210514113145.370692, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-14 16:29:12+00:00,2.49.0.1.372.0.210514162912.168888, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-15 08:59:43+00:00,2.49.0.1.372.0.210515085943.142141, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-16 08:32:26+00:00,2.49.0.1.372.0.210516083226.358560, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-17 12:47:50+00:00,2.49.0.1.372.0.210517124750.825175, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-17 14:43:59+00:00,2.49.0.1.372.0.210517144359.063937, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-18 10:34:25+00:00,2.49.0.1.372.0.210518103425.824566, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-19 10:19:13+00:00,2.49.0.1.372.0.210519101913.065814, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-19 12:47:41+00:00,2.49.0.1.372.0.210519124741.165466, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-19 13:09:46+00:00,2.49.0.1.372.0.210519130946.435664, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-19 16:34:58+00:00,2.49.0.1.372.0.210519163458.715444, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-19 18:09:16+00:00,2.49.0.1.372.0.210519180916.296489, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-20 04:23:15+00:00,2.49.0.1.372.0.210520042315.661183, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-20 11:46:46+00:00,2.49.0.1.372.0.210520114646.136857, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-20 11:51:47+00:00,2.49.0.1.372.0.210520115147.137580, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-20 11:59:40+00:00,2.49.0.1.372.0.210520115940.234951, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-20 17:06:34+00:00,2.49.0.1.372.0.210520170634.543989, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 13:22:19+00:00,2.49.0.1.372.0.210523132219.560348, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 13:25:35+00:00,2.49.0.1.372.0.210523132535.377718, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 17:59:25+00:00,2.49.0.1.372.0.210523175925.239918, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-05-23 18:20:38+00:00,2.49.0.1.372.0.210523182038.445557, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-06-03 13:19:32+00:00,2.49.0.1.372.0.210603131932.420573, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-06-03 13:44:25+00:00,2.49.0.1.372.0.210603134425.479731, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-06-03 16:28:15+00:00,2.49.0.1.372.0.210603162815.071010, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 10:57:45+00:00,2.49.0.1.372.0.210703105745.299511, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 15:36:59+00:00,2.49.0.1.372.0.210703153659.813745, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-03 15:40:57+00:00,2.49.0.1.372.0.210703154057.839214, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-07-04 12:45:34+00:00,2.49.0.1.372.0.210704124534.631065, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
