identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.230312221647.841686,forecasts@met.ie,2023-03-12 22:16:47+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-03-12 22:10:57+00:00,2023-03-12 22:10:48+00:00,2023-03-13 06:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.211205125835.N_Norm003_Weather,forecasts@met.ie,2021-12-05 12:58:35+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2021-12-05 12:58:35+00:00,2021-12-07 06:00:00+00:00,2021-12-08 06:00:00+00:00,Met Éireann,Wind warning for Ireland,"Through Tuesday and for a time on Wednesday, an Atlantic depression named Storm Barra will bring very strong winds and spells of heavy rain across Ireland. Winds will be strongest in western coastal counties with severe or damaging gusts possible. 
Heavy rain will bring localised flooding. There will also be high waves at sea and a significant possibility of coastal flooding on south and west coasts. 

Further warnings will follow.
",,2; yellow; Moderate,Ireland,Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Donegal;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.211210225617.356594,forecasts@met.ie,2021-12-10 22:56:17+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-12-10 22:55:41+00:00,2021-12-12 15:00:00+00:00,2021-12-12 23:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.220307230110.N_Norm006_Weather,forecasts@met.ie,2022-03-07 23:01:10+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2022-03-07 23:01:10+00:00,2022-03-08 22:00:00+00:00,2022-03-09 15:00:00+00:00,Met Éireann,Wind and Rain warning for Ireland,"Heavy rainfall on Tuesday night and Wednesday, possibly turning wintry in places, will be accompanied by strong to near gale force and gusty southerly winds. This will lead to hazardous driving conditions and localised flooding. ",,2; yellow; Moderate,Ireland,Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Donegal;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.210209110457.728941,forecasts@met.ie,2021-02-09 11:04:57+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2021-02-05 13:00:00+00:00,2021-02-07 06:03:00+00:00,2021-02-10 18:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Sunday, Monday, Tuesday and Wednesday will be very cold with temperatures in low single figures by day and with sharp or severe frosts and icy patches at night. \n\nShowers of sleet or snow at times in eastern counties from Sunday evening onwards.\n\nHazardous conditions on roads and paths.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.230305170052.301824,forecasts@met.ie,2023-03-05 17:00:52+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-03-05 17:00:19+00:00,2023-03-06 18:00:00+00:00,2023-03-07 10:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.211226162210.N_Norm007_Weather,forecasts@met.ie,2021-12-26 16:22:10+00:00,Actual,Alert,Public,en-GB,Met,Yellow fog,Monitor,Future,Moderate,Likely,2021-12-26 16:22:10+00:00,2021-12-26 22:00:00+00:00,2021-12-27 12:00:00+00:00,Met Éireann,"Fog warning for Cavan, Monaghan, Connacht, Longford, Louth, Meath, Offaly, Westmeath",Dense fog in many areas tonight (Sunday) and on Monday morning. ,,2; yellow; Moderate,"Cavan, Monaghan, Connacht, Longford, Louth, Meath, Offaly, Westmeath",Cavan;Monaghan;Sligo;Roscommon;Leitrim;Mayo;Galway;Longford;Louth;Meath;Offaly;Westmeath,4; Fog,,Yellow,Moderate,Fog
2.49.0.1.372.0.230729102756.777623,forecasts@met.ie,2023-07-29 10:27:56+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-07-29 11:25:09+00:00,2023-07-29 11:25:06+00:00,2023-07-30 00:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230615201319.430640,forecasts@met.ie,2023-06-15 20:13:19+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-06-15 21:12:31+00:00,2023-06-15 21:12:23+00:00,2023-06-16 00:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230708205755.231618,forecasts@met.ie,2023-07-08 20:57:55+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-07-08 21:57:16+00:00,2023-07-08 22:00:00+00:00,2023-07-09 20:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
