identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.200105232120.222663,forecasts@met.ie,2020-01-05 23:21:20+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-01-05 10:00:01+00:00,2020-01-06 03:00:01+00:00,2020-01-06 11:00:01+00:00,Met Eireann,"Wind warning for Wexford, Cork and Waterford","In coastal areas, southerly winds will reach mean speeds of 50 to 65 km/h with occasional gusts of 90 to 100 km/h.",,2; yellow; Moderate,"Wexford, Cork and Waterford",Wexford;Cork,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.190927130026.166434,forecasts@met.ie,2019-09-27 13:00:26+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-09-27 12:00:01+00:00,2019-09-27 19:00:01+00:00,2019-09-28 01:00:01+00:00,Met Eireann,Rainfall warning for Donegal,Heavy rain this evening and early tonight with some spot flooding. Totals 20 to 30 mm,,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200215114109.519641,forecasts@met.ie,2020-02-15 11:41:09+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-02-14 11:00:01+00:00,2020-02-15 03:00:01+00:00,2020-02-15 20:00:01+00:00,Met Eireann,Wind warning for Ireland,"Very squally Southerly winds veering Southwesterly with mean speeds 50 to 65 km/h gusts to around 100 km/h, strongest on exposed coasts and hills. Winds moderating from the Northwest later.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.190426043623.256662,forecasts@met.ie,2019-04-26 04:36:23+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2019-04-26 03:00:01+00:00,2019-04-26 21:00:01+00:00,2019-04-27 01:00:01+00:00,Met Eireann,Wind warning for Tipperary and Waterford,In addition to the yellow wind alert for these counties: Southwest winds veering northwest will reach mean speed of 65 to 80km/h and gusts of 110 to 120km/h for a time tonight.,,3; orange; Severe,Tipperary and Waterford,,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.200228232119.328810,forecasts@met.ie,2020-02-28 23:21:19+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2020-02-27 11:00:01+00:00,2020-02-29 06:00:01+00:00,2020-03-01 03:00:01+00:00,Met Eireann,"Wind warning for Galway, Mayo, Clare and Kerry","Some severe winds expected during Saturday associated with Storm Jorge (Hor-hay). Southwest quickly veering west and later northwest will reach mean speeds of 65 to 80km/h with gusts of 110 to 130km/h, possibly higher in very exposed areas with an elevated risk of coastal flooding.",,3; orange; Severe,"Galway, Mayo, Clare and Kerry",Galway;Mayo;Clare;Kerry,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.191002044437.178116,forecasts@met.ie,2019-10-02 04:44:37+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2019-10-01 10:00:00+00:00,2019-10-03 11:01:00+00:00,2019-10-04 11:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"There is a high probability that Storm Lorenzo will track close to or over Ireland later on Thursday and early Friday, giving high seas, severe winds and heavy rain. \nWarnings will be issued Wednesday morning.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.200818142704.722069,forecasts@met.ie,2020-08-18 14:27:04+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2020-08-18 13:00:00+00:00,2020-08-19 20:02:00+00:00,2020-08-21 20:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Unseasonably wet and very windy weather is expected from early Wednesday night until later Friday, with further rainfall and wind warnings likely.\nStrong winds at times may result in unsafe conditions and some disruption, especially over high ground, lakes and sea areas. There is also a risk of flooding.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.0.372.0.IE.171122180801.286649,www.met.ie/nationalwarnings/default.asp,2017-11-22 18:08:01+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2017-11-22 18:04:55+00:00,2017-11-22 00:01:01+00:00,2017-11-22 22:00:01+00:00,Met Eireann,Moderate Rainfall warning for Munster and Leinster,        Update \nFurther heavy rain in southern and eastern parts of the provinces for a time this evening with flooding in places.,,2; yellow; Moderate,Munster and Leinster,Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200804091843.499565,forecasts@met.ie,2020-08-04 09:18:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2020-08-04 08:45:10+00:00,2020-08-04 08:00:01+00:00,2020-08-05 12:00:01+00:00,Met Eireann,"Rainfall warning for Donegal, Galway and Mayo","Heavy rain with additional accumulations of 20 to 40mm expected. Spot flooding possible, with poor visibility and poor driving conditions.",,2; yellow; Moderate,"Donegal, Galway and Mayo",Donegal;Galway;Mayo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200208131304.474509,forecasts@met.ie,2020-02-08 13:13:04+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2020-02-07 14:00:01+00:00,2020-02-08 13:00:01+00:00,2020-02-08 18:00:01+00:00,Met Eireann,Wind warning for Galway,"In advance of the arrival of Storm Ciara on Sunday, south to southwest winds on Saturday will reach mean speeds of 65-80km/h with gusts of up to 120 km/h.",,3; orange; Severe,Galway,Galway,1; Wind,,Orange,Severe,Wind
