event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
2021-01-02 14:00:01+00:00_2021-01-03 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-02 14:28:11+00:00,4,2021-01-02 14:28:11+00:00,2021-01-03 05:36:45+00:00,2021-01-02 14:00:01+00:00,2021-01-03 10:00:01+00:00,Moderate Low-Temperature warning,"Temperatures will fall to minus 3 or 4 degrees tonight, colder locally away from coasts. This will lead to a widespread hard ground frost and icy surfaces, with potentially dangerous conditions.",Ireland,Yellow
"2021-01-05 13:00:01+00:00_2021-01-06 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Longford and Clare",2021-01-05 13:18:24+00:00,1,2021-01-05 13:18:24+00:00,2021-01-05 13:18:24+00:00,2021-01-05 13:00:01+00:00,2021-01-06 10:00:01+00:00,Moderate Low-Temperature warning,"Very cold tonight with temperatures falling to between -2 and -5 degrees, possibly colder locally, with a widespread severe frost. Icy patches may form on untreated surfaces. Freezing temperatures will persist well into the day on Wednesday.?","Connacht, Cavan, Monaghan, Donegal, Longford and Clare",Yellow
"2021-01-05 13:22:38+00:00_2021-01-06 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Longford and Clare",2021-01-05 13:25:36+00:00,4,2021-01-05 13:25:36+00:00,2021-01-06 05:27:18+00:00,2021-01-05 13:22:38+00:00,2021-01-06 10:00:01+00:00,Moderate Low-Temperature warning,"Very cold tonight with temperatures falling to between -2 and -5 degrees, possibly colder locally, with a widespread severe frost. Icy patches may form on untreated surfaces. Freezing temperatures will persist well into the day on Wednesday.","Connacht, Cavan, Monaghan, Donegal, Longford and Clare",Yellow
2021-01-06 11:00:01+00:00_2021-01-07 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-06 11:27:55+00:00,5,2021-01-06 11:27:55+00:00,2021-01-07 05:04:56+00:00,2021-01-06 11:00:01+00:00,2021-01-07 10:00:01+00:00,Moderate Low-Temperature warning,Very cold with minima widely falling to -3 or -4 degrees Celsius.,Ireland,Yellow
2021-01-06 11:00:01+00:00_2021-01-07 11:00:01+00:00_Moderate Snow-ice warning_Yellow_Ireland,2021-01-06 11:23:35+00:00,6,2021-01-06 11:23:35+00:00,2021-01-07 05:04:56+00:00,2021-01-06 11:00:01+00:00,2021-01-07 11:00:01+00:00,Moderate Snow-ice warning,Snow and ice will lead to treacherous conditions. Some accumulations possible.,Ireland,Yellow
2021-01-07 11:00:01+00:00_2021-01-08 11:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-07 11:31:57+00:00,5,2021-01-07 11:31:57+00:00,2021-01-08 05:29:14+00:00,2021-01-07 11:00:01+00:00,2021-01-08 11:00:01+00:00,Moderate Low-Temperature warning,Cold tonight with minimum temperatures of zero to minus 4 degrees. Ice forming on untreated surfaces.,Ireland,Yellow
2021-01-08 11:00:01+00:00_2021-01-09 12:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-08 11:32:31+00:00,5,2021-01-08 11:32:31+00:00,2021-01-09 05:28:16+00:00,2021-01-08 11:00:01+00:00,2021-01-09 12:00:01+00:00,Moderate Low-Temperature warning,Hazardous icy conditions in places with a widespread severe frost and pockets of freezing fog. \n\nImproving conditions in the west and northwest from early Saturday morning.,Ireland,Yellow
2021-01-11 08:00:01+00:00_2021-01-12 12:00:01+00:00_Moderate Rainfall warning_Yellow_Mayo and Sligo,2021-01-11 08:39:02+00:00,6,2021-01-11 08:39:02+00:00,2021-01-12 05:40:26+00:00,2021-01-11 08:00:01+00:00,2021-01-12 12:00:01+00:00,Moderate Rainfall warning,Persistent and occasionally heavy rainfall may cause some localised flooding.,Mayo and Sligo,Yellow
"2021-01-17 15:00:01+00:00_2021-01-19 21:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",2021-01-17 15:59:30+00:00,1,2021-01-17 15:59:30+00:00,2021-01-17 15:59:30+00:00,2021-01-17 15:00:01+00:00,2021-01-19 21:00:01+00:00,Moderate Rainfall warning,"Heavy rainfall will lead to accumulations of 30 to 50mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.?","Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",Yellow
"2021-01-17 16:00:01+00:00_2021-01-19 21:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",2021-01-17 16:09:32+00:00,12,2021-01-17 16:09:32+00:00,2021-01-19 17:03:11+00:00,2021-01-17 16:00:01+00:00,2021-01-19 21:00:01+00:00,Moderate Rainfall warning,"Heavy rainfall will lead to accumulations of 30 to 50mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.","Connacht, Longford, Louth, Westmeath, Meath, Cavan and Monaghan",Yellow
2021-01-19 11:00:01+00:00_2021-01-19 21:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2021-01-19 11:28:19+00:00,4,2021-01-19 11:28:19+00:00,2021-01-19 17:03:11+00:00,2021-01-19 11:00:01+00:00,2021-01-19 21:00:01+00:00,Moderate Rainfall warning,"Heavy rainfall will lead to accumulations of up to 30mm, with higher accumulations in mountainous areas. This will bring a risk of some river and localised flooding.",Donegal,Yellow
2021-01-20 07:00:01+00:00_2021-01-20 19:00:01+00:00_Moderate Snow-ice warning_Yellow_Wicklow,2021-01-20 07:43:48+00:00,4,2021-01-20 07:43:48+00:00,2021-01-20 17:15:23+00:00,2021-01-20 07:00:01+00:00,2021-01-20 19:00:01+00:00,Moderate Snow-ice warning,Falls of sleet and snow today with significant snow accumulations on hills and mountains.,Wicklow,Yellow
"2021-01-22 12:00:01+00:00_2021-01-23 12:00:01+00:00_Moderate Snow-ice warning_Yellow_Cavan, Monaghan, Donegal, Leitrim, Mayo, Roscommon and Sligo",2021-01-22 12:26:04+00:00,6,2021-01-22 12:26:04+00:00,2021-01-23 05:19:16+00:00,2021-01-22 12:00:01+00:00,2021-01-23 12:00:01+00:00,Moderate Snow-ice warning,"Falls of hail, sleet and snow. Icy and hazardous conditions.","Cavan, Monaghan, Donegal, Leitrim, Mayo, Roscommon and Sligo",Yellow
2021-01-22 12:00:01+00:00_2021-01-24 12:00:01+00:00_Moderate Snow-ice warning_Yellow_Ireland,2021-01-22 13:01:37+00:00,16,2021-01-22 13:01:37+00:00,2021-01-24 11:10:51+00:00,2021-01-22 12:00:01+00:00,2021-01-24 12:00:01+00:00,Moderate Snow-ice warning,"Falls of hail, sleet and snow. Icy and hazardous conditions.",Ireland,Yellow
"2021-01-23 13:00:01+00:00_2021-01-23 18:00:01+00:00_Moderate Snow-ice warning_Yellow_Galway, Mayo, Clare, Cork, Kerry and Limerick",2021-01-23 13:24:30+00:00,2,2021-01-23 13:24:30+00:00,2021-01-23 17:11:58+00:00,2021-01-23 13:00:01+00:00,2021-01-23 18:00:01+00:00,Moderate Snow-ice warning,"Wintry showers moving in this afternoon and evening with some falls of hail, sleet and snow. Icy and hazardous conditions.","Galway, Mayo, Clare, Cork, Kerry and Limerick",Yellow
2021-01-24 09:00:01+00:00_2021-01-24 19:00:01+00:00_Moderate Snow-ice warning_Yellow_Ireland,2021-01-24 11:06:38+00:00,4,2021-01-24 11:06:38+00:00,2021-01-24 17:00:10+00:00,2021-01-24 09:00:01+00:00,2021-01-24 19:00:01+00:00,Moderate Snow-ice warning,"UPDATE: Scattered falls of sleet, snow and hail continuing for the rest of today. Icy and hazardous conditions.",Ireland,Yellow
2021-01-24 11:00:01+00:00_2021-01-25 10:00:01+00:00_Moderate Low-Temperature warning_Yellow_Ireland,2021-01-24 11:10:51+00:00,5,2021-01-24 11:10:51+00:00,2021-01-25 05:22:53+00:00,2021-01-24 11:00:01+00:00,2021-01-25 10:00:01+00:00,Moderate Low-Temperature warning,"Icy and very cold with lowest temperatures of -5 to -2 degrees Celsius generally, colder locally.",Ireland,Yellow
"2021-01-25 18:00:01+00:00_2021-01-26 09:00:01+00:00_Moderate Snow-ice warning_Yellow_Cavan, Monaghan, Donegal and Leitrim",2021-01-25 18:29:24+00:00,3,2021-01-25 18:29:24+00:00,2021-01-26 05:29:58+00:00,2021-01-25 18:00:01+00:00,2021-01-26 09:00:01+00:00,Moderate Snow-ice warning,Falls of sleet and snow. Icy and hazardous conditions.,"Cavan, Monaghan, Donegal and Leitrim",Yellow
"2021-01-26 13:00:01+00:00_2021-01-28 06:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht, Cavan, Monaghan, Donegal, Longford, Louth, Westmeath and Meath",2021-01-26 13:44:44+00:00,10,2021-01-26 13:44:44+00:00,2021-01-28 05:30:41+00:00,2021-01-26 13:00:01+00:00,2021-01-28 06:00:01+00:00,Moderate Rainfall warning,Heavy rain. Risk of localised flooding.,"Connacht, Cavan, Monaghan, Donegal, Longford, Louth, Westmeath and Meath",Yellow
