id,name,irish_name,county,country,type
1,Abartagh,Abartach,Waterford,Republic of Ireland,Townland
2,Abberanville,Abberanville,Galway,Republic of Ireland,Townland
3,Abbernadoorny,,Donegal,Republic of Ireland,Townland
4,Abbert,An Abart,Galway,Republic of Ireland,Townland
5,Abbert Demesne,Diméin na hAbarta,Galway,Republic of Ireland,Townland
6,Abbeville,Baile an Phíopaire,Tipperary,Republic of Ireland,Townland
7,Abbey,An Mhainistir,Cork,Republic of Ireland,Townland
8,Abbey,An Mhainistir,Galway,Republic of Ireland,Town/Village
9,Abbey,An Mhainistir,Galway,Republic of Ireland,Town/Village
10,Abbey,An Mhainistir,Limerick,Republic of Ireland,Townland
11,Abbeycartron,Cartrún na Mainistreach,Longford,Republic of Ireland,Townland
12,Abbeycartron,,Roscommon,Republic of Ireland,Townland
13,Abbeyderg,Mainistir Dhearg,Longford,Republic of Ireland,Townland
14,Abbeydorney,Mainistir Ó dTorna,Kerry,Republic of Ireland,Town/Village
15,Abbeydown,,Wexford,Republic of Ireland,Townland
16,Abbey East,An Mhainistir Thoir,Clare,Republic of Ireland,Townland
17,Abbeyfarm,Feirm na Mainistreach,Limerick,Republic of Ireland,Townland
18,Abbeyfeale,Mainistir na Féile,Limerick,Republic of Ireland,Town/Village
19,Abbeyfeale East,Mainistir na Féile Thoir,Limerick,Republic of Ireland,Townland
20,Abbeyfeale West,Mainistir na Féile Thiar,Limerick,Republic of Ireland,Townland
21,Abbeyfield,An Mhainistir,Galway,Republic of Ireland,Townland
22,Abbeygormacan,Mainistir Ó gCormacáin,Galway,Republic of Ireland,Townland
23,Abbeygrove,Garrán na Manach,Kilkenny,Republic of Ireland,Townland
24,Abbeyhalfquarter,,Mayo,Republic of Ireland,Townland
25,Abbey Island,,Donegal,Republic of Ireland,Townland
26,Abbey Island,,Kerry,Republic of Ireland,Townland
27,Abbeyland,,Cavan,Republic of Ireland,Townland
28,Abbeyland,Fearann na Mainistreach,Kildare,Republic of Ireland,Townland
29,Abbeyland,,Kildare,Republic of Ireland,Townland
30,Abbeyland,Fearann na Mainistreach,Meath,Republic of Ireland,Townland
31,Abbeyland,Fearann na Mainistreach,Meath,Republic of Ireland,Townland
32,Abbeyland,,Westmeath,Republic of Ireland,Townland
33,Abbey Land,Fearann na Mainistreach,Longford,Republic of Ireland,Townland
34,Abbeyland And Charlestown,,Westmeath,Republic of Ireland,Townland
35,Abbeyland Great,Fearann na Mainistreach Mór,Galway,Republic of Ireland,Townland
36,Abbeyland Little,Fearann na Mainistreach Beag,Galway,Republic of Ireland,Townland
37,Abbeyland North,Fearann na Mainistreach Thuaidh,Galway,Republic of Ireland,Townland
38,Abbeylands,,Donegal,Republic of Ireland,Townland
39,Abbeylands,Fearann na Mainistreach,Kerry,Republic of Ireland,Townland
40,Abbeylands,Fearann na Mainistreach,Kilkenny,Republic of Ireland,Townland
41,Abbeylands,Cluain na mBráthar,Limerick,Republic of Ireland,Townland
42,Abbeylands,,Mayo,Republic of Ireland,Townland
43,Abbeylands,,Wicklow,Republic of Ireland,Townland
44,Abbey-Lands,Fearann na Mainistreach,Cork,Republic of Ireland,Townland
45,Abbeyland South,Fearann na Mainistreach Theas,Galway,Republic of Ireland,Townland
46,Abbeyland South,Fearann na Mainistreach Theas,Meath,Republic of Ireland,Townland
47,Abbeylara,Mainistir Leathrátha,Longford,Republic of Ireland,Town/Village
48,Abbeyleix,Mainistir Laoise,Laois,Republic of Ireland,Town/Village
49,Abbeyleix Demesne,,Laois,Republic of Ireland,Townland
50,Abbeymahon,Mainistir Ó mBána,Cork,Republic of Ireland,Townland
51,Abbeypark,Páirc na Mainistreach,Galway,Republic of Ireland,Townland
52,Abbeyquarter,Ceathrú na Mainistreach,Mayo,Republic of Ireland,Townland
53,Abbeyquarter North,,Sligo,Republic of Ireland,Townland
54,Abbeyquarter South,,Sligo,Republic of Ireland,Townland
55,Abbeyshrule,Mainistir Shruthla,Longford,Republic of Ireland,Town/Village
56,Abbeyside,Dún na Mainistreach,Waterford,Republic of Ireland,Townland
57,Abbeystrowry,Mainistir na Sruthrach,Cork,Republic of Ireland,Townland
58,Abbeytown,Baile na Mainistreach,Galway,Republic of Ireland,Townland
59,Abbeytown,Baile na Mainistreach,Mayo,Republic of Ireland,Townland
60,Abbeytown,,Sligo,Republic of Ireland,Townland
61,Abbeyville,Abbeyville,Dublin,Republic of Ireland,Townland
62,Abbeyville,Baile na Mainistreach,Galway,Republic of Ireland,Townland
63,Abbeyville,,Sligo,Republic of Ireland,Townland
64,Abbey West,An Mhainistir Thiar,Clare,Republic of Ireland,Townland
65,Abbotstown,Baile an Aba,Dublin,Republic of Ireland,Townland
66,Abelstown,,Meath,Republic of Ireland,Townland
67,Abington,Mainistir Uaithne,Limerick,Republic of Ireland,Townland
68,Ablintown,,Wexford,Republic of Ireland,Townland
69,Acantha,Áth an Chiontaigh,Offaly,Republic of Ireland,Townland
70,Acarreagh,An tAcra Riabhach,Louth,Republic of Ireland,Townland
71,Acaun,,Carlow,Republic of Ireland,Townland
